Loc,Birds
ForA,155
ForA,84
ForB,77
ForB,57
ForB,38
ForB,40
ForB,51
ForB,67
Frag,35
Frag,50
Frag,66
Frag,51
Frag,49
Frag,75
Edge,53
Edge,49
Edge,44
Edge,47
PasA,40
PasA,39
PasB,33
PasB,31
PasB,38
PasB,50
