-0.405 -0.486 -0.985 -0.277 -0.140  0.313 -0.009 -0.220 -0.391 -0.540 -0.985 -0.357 
-0.520 -0.035 -0.536 -0.848 -0.582 -0.186 -0.044  0.032 -0.402 -0.619 -0.791  0.341 
-0.172 -1.456 -0.732 -0.089 -0.129  0.032 -0.005 -0.226  0.023  0.293 -1.372 -0.122 
-0.195  0.362  0.176 -0.019  0.078 -0.178  0.027  0.253 -0.250 -0.199 -0.294 -0.884 
 0.017 -0.672 -0.911 -0.449 -0.063  0.215  0.145 -0.160 -0.102 -0.226 -1.018 -1.141 
-1.351 -0.214 -0.213 -0.394 -0.687  0.175  0.290  0.088 -0.358 -0.117 -0.227  0.024 
-0.858 -1.092 -0.596 -0.231 -0.247 -0.383 -0.375 -0.566 -0.259 -0.367 -1.239 -1.093 
 0.936  0.101 -0.375 -0.150 -0.049 -0.214 -0.520 -0.282 -0.102 -0.538 -0.344 -0.075 
-0.934 -0.584 -0.526 -0.465 -0.392  0.179  0.241  0.016 -0.286 -0.985 -0.741 -0.857 
 0.052 -0.941 -0.930 -0.193  0.065  0.020  0.093 -0.251  0.415 -0.305  0.035 -0.268 
 0.323 -0.037 -0.424  0.063 -0.689  0.436 -0.007 -0.216 -0.085 -0.545 -0.361 -0.235 
-0.375  0.597 -1.008 -0.267 -0.602 -0.260 -0.162 -0.001  0.057 -0.096 -0.292 -0.681 
-0.903 -0.457  0.154 -0.157  0.347  0.446  0.643  0.100 -0.269 -0.257 -0.819  0.225 
 0.080  0.730 -0.691 -0.120  0.086 -0.154  0.067  0.061 -0.157 -0.685 -0.499 -0.492 
 0.166 -0.527 -0.517 -0.138 -0.011 -0.006  0.201 -0.133 -0.089 -0.268  0.058 -1.102 
-0.494 -0.815  0.181  0.016 -0.176 -0.028  0.200  0.050 -0.368 -0.437 -0.941 -0.883 
-0.327 -0.344 -0.537 -0.115  0.083  0.117  0.080  0.099 -0.032 -0.221 -0.613 -0.579 
-0.032 -0.468 -0.355 -0.628 -0.506 -0.046  0.027 -0.018 -0.233 -0.506 -0.459 -0.242 
